slug,name,agency,type,url,status,last_updated,listing_deadline,deadline_raw,amount,eligibility,source_quality,source_domain,C1,C2,C3,C4,C5,total,note
venmo-small-business-grant,Venmo Small Business Grant,Venmo,Grant,https://ambrook.com/funding/venmo-small-business-grant,OK,2026-07-23,Closed Aug 7,"Closed August 7, 2023","$10,000",EXPLICIT,SPECIFIC,venmo.com,3,3,3,3,3,15,
vacc-loans,Vermont Agricultural Credit Corporation Loans,Vermont Economic Development Authority (VEDA),Loan,https://ambrook.com/funding/vacc-loans,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,SPECIFIC,veda.org,3,2,3,1,3,12,no funding amount
vt-fap,Vermont Farm Agronomic Practices Grant,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,https://ambrook.com/funding/vt-fap,OK,2026-07-23,Closed Aug 1,"Closed August 1, 2026","$10,000 per farm per year",EXPLICIT,SPECIFIC,agriculture.vermont.gov,3,3,3,3,3,15,
vtff-business-builder-loan,Vermont Farm Fund Business Builder Loan,Vermont Farm Fund (VTFF),Loan,https://ambrook.com/funding/vtff-business-builder-loan,OK,2026-07-23,-,rolling basis,"$30,000",PROSE,GENERIC,vtfarmfund.org,3,3,2,3,2,13,
vtff-emergeny-loan,Vermont Farm Fund Emergency Loan,Vermont Farm Fund (VTFF),Loan,https://ambrook.com/funding/vtff-emergeny-loan,OK,2026-07-23,-,rolling basis,"$10,000 vs $15,000",PROSE,GENERIC,vtfarmfund.org,3,3,2,3,2,13,amount conflict between body and Details box
vtff-new-producer-loan,Vermont Farm Fund New Producer Loan,Vermont Farm Fund (VTFF),Loan,https://ambrook.com/funding/vtff-new-producer-loan,OK,2026-07-23,-,rolling basis,"$20,000",PROSE,GENERIC,vtfarmfund.org,3,3,2,3,2,13,
vt-bipg,Vermont Farm and Forest Business Plan Implementation Grant,Vermont Housing and Conservation Board (VHCB),Grant,https://ambrook.com/funding/vt-bipg,OK,2026-07-23,Closed May 1,"Closed May 1, 2026","$8,000",PROSE,GENERIC,vhcb.org,3,3,2,3,2,13,eligibility still limited to 2022 or 2023 clients
vt-ffvp-business-advising,Vermont Farm and Forest Program Business Advising,Vermont Housing and Conservation Board (VHCB),Discount,https://ambrook.com/funding/vt-ffvp-business-advising,OK,2026-07-23,-,ABSENT,no cost after $75 enrollment fee,EXPLICIT,SPECIFIC,vhcb.org,3,2,3,2,3,13,benefit value not quantified
vt-farm-and-forest-water-quality-grant,Vermont Farm and Forest Water Quality Grant,Vermont Housing and Conservation Board (VHCB),Grant,https://ambrook.com/funding/vt-farm-and-forest-water-quality-grant,OK,2026-07-23,Closed Jan 14,"Closed January 14, 2026","$50,000",EXPLICIT,SPECIFIC,vhcb.org,3,3,3,3,3,15,
vermont-pasture-surface-water-fencing-program,Vermont Pasture and Surface Water Fencing Program,"Vermont Agency of Agriculture, Food & Markets (VAAFM)",Grant,https://ambrook.com/funding/vermont-pasture-surface-water-fencing-program,OK,2026-07-23,-,rolling basis,"$15,000 vs $20,000",EXPLICIT,SPECIFIC,agriculture.vermont.gov,3,3,3,3,3,15,amount conflict between body and Details box
vermont-working-lands-business-grants,Vermont Working Lands Business Enhancement Grants,State of Vermont,Grant,https://ambrook.com/funding/vermont-working-lands-business-grants,OK,2026-07-23,Closed Dec 11,"Closed December 11, 2025","$50,000",EXPLICIT,SPECIFIC,workinglands.vermont.gov,3,1,3,3,3,13,closed date contradicts body saying check back in fall 2024
vtwlg-producer-association-development-grants,Vermont Working Lands Service Provider & Producer Association Grants,Vermont Working Lands Enterprise Initiative (WLEI),Grant,https://ambrook.com/funding/vtwlg-producer-association-development-grants,OK,2026-07-23,Closed Nov 5,"Closed November 5, 2025","$100,000",EXPLICIT,SPECIFIC,workinglands.vermont.gov,3,3,3,3,3,15,
vermont-working-lands-trade-show-assistance-grants,Vermont Working Lands Trade Show Assistance Grants,State of Vermont,Grant,https://ambrook.com/funding/vermont-working-lands-trade-show-assistance-grants,OK,2026-07-28,Closed Jan 21,"December 5, 2025 to January 21, 2026","$5,000",EXPLICIT,SPECIFIC,agriculture.vermont.gov,3,3,3,3,3,15,linked RFA is FY25
va-farm-loans,Veterans Affair's Loans for Farms,Department of Veterans Affairs (VA),Loan,https://ambrook.com/funding/va-farm-loans,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,GENERIC,va.gov,3,2,2,1,2,10,no funding amount
va-food-access-investment-funds-grants,Virginia Food Access Investment Fund Grants,Virginia Department of Agriculture and Consumer Services (VDACS),Grant,https://ambrook.com/funding/va-food-access-investment-funds-grants,OK,2026-07-23,Closed Apr 1,"Closed April 1, 2025","$50,000",EXPLICIT,SPECIFIC,vdacs.virginia.gov,3,3,3,3,3,15,
warner-grants-for-sustainable-agriculture,Warner Grants for Sustainable Agriculture,The Ohio State University CFAES,Grant,https://ambrook.com/funding/warner-grants-for-sustainable-agriculture,OK,2026-07-23,Closed Mar 1,"Closed March 1, 2025","$5,000",EXPLICIT,SPECIFIC,amp.osu.edu,3,3,3,3,3,15,status says closed Mar 2025 but page links a 2026 RFP
washington-beginner,Washington Beginning Farmer/Rancher Program,Washington State Housing Finance Commission (WSHFC),Loan,https://ambrook.com/funding/washington-beginner,OK,2026-07-23,-,ABSENT,"$534,600",EXPLICIT,SPECIFIC,wshfc.org,3,2,3,3,3,14,
washington-sosff,Washington State Organic and Sustainable Farming Fund,Tilth Alliance,Grant,https://ambrook.com/funding/washington-sosff,OK,2026-07-23,Closed Feb 9,"Closed February 9, 2026","$25,000 max",EXPLICIT,SPECIFIC,tilthalliance.org,3,3,3,3,3,15,
wcfsp,Water Conservation Field Services Program,U.S. Bureau of Reclamation (USBR),Cost Share,https://ambrook.com/funding/wcfsp,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,GENERIC,grants.gov,3,2,2,1,2,10,no USBR program link and no funding information
water-well-trust-water-access-program,Water Well Trust Water Access Program,Water Well Trust,Loan,https://ambrook.com/funding/water-well-trust-water-access-program,OK,2026-07-23,-,ABSENT,ABSENT,EXPLICIT,GENERIC,waterwelltrust.org,3,2,2,1,3,11,no funding amount
watersmart-initiative,WaterSMART Initiative (WSI),Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/watersmart-initiative,OK,2026-07-11,-,ABSENT,$29.7 million FY2024,PROSE,SPECIFIC,nrcs.usda.gov,3,2,3,2,2,12,figure is a FY2024 program-wide total
wnc-agricultural-options-program,Western North Carolina Agricultural Options Program,North Carolina Tobacco Trust Fund Commission,Grant,https://ambrook.com/funding/wnc-agricultural-options-program,OK,2026-07-23,Closed Jan 15,"Closed January 15, 2026","$8,000",PROSE,GENERIC,wncagoptions.org,3,1,2,3,2,11,secondary deadline Oct. 14 has no year
western-sare-farmerrancher-grant,Western SARE Farmer/Rancher Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/western-sare-farmerrancher-grant,OK,2026-07-23,Closed Oct 23,"Closed October 23, 2024","$35,000",EXPLICIT,SPECIFIC,western.sare.org,3,3,3,3,3,15,deadline is the 2024 cycle despite a 2026 update date
w-sare-graduate-student,Western SARE Graduate Student Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/w-sare-graduate-student,OK,2026-07-23,Closed Mar 6,"Closed March 6, 2026","$30,000",EXPLICIT,SPECIFIC,projects.sare.org,3,3,3,3,3,15,
w-sare-grassroots,Western SARE Local Education and Demonstration Grants,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/w-sare-grassroots,OK,2026-07-23,Closed Nov 6,"Closed November 6, 2024","$60,000",PROSE,SPECIFIC,western.sare.org,3,3,3,3,2,14,deadline is the 2024 cycle; one resource URL is malformed
w-sare-professional-producer,Western SARE Professional + Producer Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/w-sare-professional-producer,OK,2026-07-23,Closed Oct 22,"Closed October 22, 2024","$75,000 vs $85,000",EXPLICIT,SPECIFIC,western.sare.org,3,3,3,3,3,15,amount conflict between body and Details box
w-sare-professional-development,Western SARE Professional Development Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/w-sare-professional-development,OK,2026-07-23,Closed Nov 6,"Closed November 6, 2024","$100,000",PROSE,SPECIFIC,western.sare.org,3,3,3,3,2,14,deadline is the 2024 cycle
w-sare-research-and-education,Western SARE Research and Education Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/w-sare-research-and-education,OK,2026-07-23,Closed Jun 15,"Closed June 15, 2026","$350,000",EXPLICIT,GENERIC,projects.sare.org,3,3,2,3,3,14,links only to the application portal
w-sare-sabbatical-research-and-education,Western SARE Sabbatical Research and Education Grant,Sustainable Agriculture Research and Education (SARE),Grant,https://ambrook.com/funding/w-sare-sabbatical-research-and-education,OK,2026-07-23,Closed Nov 1,"Closed November 1, 2024","$75,000",EXPLICIT,SPECIFIC,western.sare.org,3,3,3,3,3,15,deadline is the 2024 cycle
wrep,Wetland Reserve Easement (WREP),Natural Resources Conservation Service (NRCS),Easement,https://ambrook.com/funding/wrep,OK,2026-07-23,-,"emailed by August 15, 2021",at least 10 percent partner contribution,PROSE,SPECIFIC,nrcs.usda.gov,3,1,3,2,2,11,due date August 15 2021 has already passed; NRCS links use dead legacy URLs
whole-farm-revenue-protection,Whole Farm Revenue Protection,Risk Management Agency (RMA),Insurance,https://ambrook.com/funding/whole-farm-revenue-protection,OK,2026-07-23,-,sales closing date in actuarial documents,no more than $17 million insured revenue,EXPLICIT,SPECIFIC,rma.usda.gov,3,2,3,3,3,14,linked fact sheets and handbook are 2020/2023 vintage
wholefoods-local-producer,Whole Foods Local Producer Loan Program,Whole Foods Market,Loan,https://ambrook.com/funding/wholefoods-local-producer,OK,2025-08-13,-,ABSENT,"$1,000 to $100,000",EXPLICIT,NONE,ABSENT,3,2,1,3,3,12,no outbound source link
datcp-dairy-processor-grants,Wisconsin Dairy Processor Grants,Wisconsin DATCP,Grant,https://ambrook.com/funding/datcp-dairy-processor-grants,OK,2026-07-23,Closed Sep 17,"Closed September 17, 2025","$50,000 per processor per year",EXPLICIT,SPECIFIC,datcp.wi.gov,3,3,3,3,3,15,
ffti-women-in-agtech,Women in Agrifoodtech Directory,From Farms to Incubators,Education,https://ambrook.com/funding/ffti-women-in-agtech,OK,2026-07-23,-,ABSENT,ABSENT,ABSENT,GENERIC,airtable.com,3,2,2,1,1,9,no funding or eligibility information
WLEI,Working Lands Enterprise Initiative,State of Vermont,Grant,https://ambrook.com/funding/WLEI,OK,2026-07-23,-,ABSENT,"$100,000",EXPLICIT,NONE,ABSENT,3,2,1,3,3,12,"no outbound source link, only an image credit"
wlfw,Working Lands for Wildlife,Natural Resources Conservation Service (NRCS),Grant,https://ambrook.com/funding/wlfw,OK,2026-07-23,-,ABSENT,ABSENT,PROSE,SPECIFIC,nrcs.usda.gov,3,2,3,1,2,11,no funding or cost-share information
youth-loans,Youth Loans,Farm Service Agency (FSA),Loan,https://ambrook.com/funding/youth-loans,OK,2026-07-23,-,ABSENT,"$10,000",EXPLICIT,SPECIFIC,fsa.usda.gov,3,2,3,3,3,14,
